Brand,Model,Engine(cc),Top Speed(kmph),Mileage(kmpl),Rating(out of 5),Review Count,Min Price,Max Price
TVS,iQube,,82.0,,4.7,58,94434.0,159000.0
Yamaha,MT-15 V2,155.0,122.0,56.87,4.4,34,170000.0,174000.0
Royal Enfield,Hunter 350,349.0,114.0,36.2,4.0,102,150000.0,182000.0
Hero,Splendor Plus XTEC,97.2,87.0,70.0,4.4,31,81001.0,86051.0
KTM,390 Duke,398.63,167.0,28.9,4.0,76,297000.0,297000.0
TVS,Ronin,225.9,120.0,42.95,4.0,115,135000.0,173000.0
Hero,Xtreme 125R,124.7,95.0,66.0,4.1,49,96425.0,102000.0
TVS,Raider,124.8,99.0,71.94,4.3,94,87010.0,102000.0
Bajaj,Pulsar 150,149.5,110.0,47.5,4.4,8,112999.99999999999,120000.0
Harley-Davidson,X440,440.0,135.0,35.0,3.9,88,240000.0,279000.0
TVS,Apache RTR 160 4V,159.7,114.0,45.0,4.8,4,125000.0,140000.0
Honda,SP 125,125.0,100.0,65.0,4.2,15,89468.0,101000.0
Bajaj,Pulsar NS200,199.5,125.0,40.36,4.5,2,160000.0,160000.0
Hero,Splendor Plus,97.2,87.0,70.0,4.2,40,77176.0,80176.0
Bajaj,Pulsar NS400Z,373.27,154.0,34.0,4.3,282,185000.0,185000.0
Bajaj,Dominar 400,373.3,155.0,27.0,4.1,7,233000.0,233000.0
Royal Enfield,Bullet 350,349.0,110.0,37.0,4.4,14,174000.0,218000.00000000003
Yamaha,R15 V4,155.0,140.0,45.0,4.3,22,184000.0,212000.0
Bajaj,Pulsar 125,124.4,99.0,51.46,4.3,25,85677.0,93613.0
Honda,Activa 6G,109.51,85.0,59.5,4.2,45,78684.0,94998.0
BMW,CE-04,,120.0,,,,1525000.0,1525000.0
TVS,Apache RTR 160,159.7,107.0,47.0,4.3,15,120000.0,131000.0
Bajaj,Pulsar NS 125,124.45,103.0,64.75,4.3,10,99994.0,107000.0
Royal Enfield,Continental GT 650,647.95,169.0,27.0,4.1,35,319000.0,349000.0
Yamaha,FZS-FI V3,149.0,115.0,49.31,,,123000.0,124000.0
Honda,Shine,123.94,90.0,55.0,4.0,5,83251.0,89772.0
KTM,200 Duke,200.0,140.0,35.0,4.5,2,206000.0,206000.0
Bajaj,Pulsar N160,164.82,120.0,59.11,4.3,14,122000.0,143000.0
TVS,NTORQ 125,124.8,95.0,47.0,4.1,13,87042.0,107000.0
Kawasaki,Ninja ZX-10R,998.0,299.0,12.0,4.6,10,1850000.0,1850000.0
Bajaj,Pulsar NS160,160.3,120.0,40.36,,,149000.0,149000.0
Bajaj,Pulsar 220 F,220.0,135.0,40.0,3.8,5,142000.0,142000.0
TVS,Jupiter,113.3,82.0,49.0,4.3,62,76691.0,89791.0
Royal Enfield,Shotgun 650,648.0,170.0,22.0,4.0,3,359000.0,373000.0
Hero,HF Deluxe,97.2,85.0,70.0,4.6,17,59998.0,69268.0
Hero,Karizma XMR,210.0,147.0,41.55,4.8,5,181000.0,202000.0
Royal Enfield,Himalayan 450,452.0,160.0,30.0,4.7,3,285000.0,298000.0
Honda,Activa 125,123.92,90.0,47.0,4.4,7,82257.0,99674.0
KTM,RC 200,199.5,140.0,35.0,5.0,2,220000.00000000003,221000.0
Jawa,42 Bobber,334.0,129.0,30.56,4.5,4,212000.0,229000.0
KTM,250 Duke,250.0,148.0,30.08,4.7,3,229999.99999999997,229999.99999999997
Honda,Hness CB350,348.0,125.0,45.8,4.0,1,210000.0,216000.0
Honda,Dio,109.51,83.0,50.0,4.3,3,74958.0,86312.0
Royal Enfield,Meteor 350,349.0,114.0,41.88,4.4,5,206000.0,229999.99999999997
Hero,XPulse 200 4V,199.6,135.0,36.0,4.3,3,151000.0,168000.0
Ather Energy,450x,,90.0,,,,149000.0,179000.0
Yamaha,FZ-FI V3,149.0,115.0,49.3,4.0,2,118000.0,118000.0
TVS,Apache RTR 310,312.12,150.0,35.0,4.5,2,250000.0,272000.0
TVS,XL100,99.7,65.0,65.0,4.7,3,46354.0,62305.0
Yamaha,Aerox 155,155.0,115.0,48.62,4.7,3,150000.0,153000.0
Kawasaki,Z900,948.0,195.0,17.0,3.0,1,938000.0000000001,952000.0
TVS,Jupiter 125,124.8,95.0,57.27,4.3,3,80740.0,92001.0
Honda,Hornet 2.0,184.4,130.0,42.3,4.0,20,143000.0,157000.0
Honda,Shine 100,98.98,85.0,55.0,4.0,2,66900.0,68767.0
Hero,Super Splendor,124.7,93.0,60.0,4.3,3,80848.0,84748.0
Yamaha,RayZR 125,125.0,91.0,71.33,4.0,3,86430.0,99970.0
Suzuki,Burgman Street,124.0,104.0,48.0,4.7,7,95800.0,115999.99999999999
Bajaj,Pulsar N150,149.68,90.0,48.5,4.5,2,125000.0,125000.0
Kawasaki,Ninja 300,296.0,182.0,30.0,4.0,3,343000.0,343000.0
BMW,S 1000 RR,999.0,303.0,15.6,4.5,2,2075000.0,2560000.0
Hero,Glamour,125.0,95.0,63.0,4.6,7,84698.0,90698.0
Royal Enfield,Interceptor 650,647.95,212.0,25.0,4.3,4,303000.0,335000.0
KTM,RC 390,373.0,169.0,25.89,3.0,3,323000.0,323000.0
TVS,Sport,109.7,90.0,70.0,4.3,10,59881.0,71785.0
Royal Enfield,Super Meteor 650,648.0,160.0,25.0,,,368000.0,399000.0
Honda,SP160,162.71,110.0,50.0,5.0,1,121000.0,128000.0
Yamaha,FZ-X,149.0,96.0,55.11,4.0,3,138000.0,142000.0
Triumph,Speed 400,398.15,145.0,34.0,4.0,1,242000.0,242000.0
Bajaj,Platina 100,102.0,90.0,70.0,5.0,1,68890.0,68890.0
Hero,Xtreme 160R,163.2,115.0,46.0,4.1,32,112000.00000000001,112999.99999999999
Yamaha,FZS FI V4,149.0,115.0,46.0,4.8,6,131000.0,131000.0
Suzuki,Gixxer SF,150.0,125.0,45.0,,,147000.0,148000.0
Honda,CB300F,293.52,155.0,30.0,4.5,4,170000.0,170000.0
TVS,Radeon,109.0,90.0,73.68,4.5,2,59880.0,83384.0
Yamaha,Fascino 125,125.0,90.0,68.75,5.0,5,80430.0,96650.0
Suzuki,Gixxer,155.0,115.0,38.0,,,138000.0,138000.0
Aprilia,RS 457,457.0,190.0,30.0,4.3,3,423000.00000000006,423000.00000000006
Jawa,42,294.72,132.0,35.0,4.1,36,173000.0,198000.0
TVS,Apache RTR 180,177.4,113.0,45.0,,,135000.0,135000.0
Jawa,Perak,334.0,140.0,34.05,5.0,1,240000.0,240000.0
Hero,Pleasure Plus,110.9,75.0,50.0,4.3,4,71763.0,83813.0
TVS,Apache RTR 200 4V,197.75,127.0,37.0,,,149000.0,149000.0
Bajaj,Dominar 250,248.77,120.0,35.03,3.0,1,186000.0,186000.0
Bajaj,Platina 110,115.45,90.0,70.0,4.7,3,71558.0,74214.0
Revolt Motors,RV400,,85.0,,4.0,1,124000.0,124000.0
Bajaj,CT110,115.45,90.0,70.0,4.3,4,70176.0,70176.0
Kawasaki,Ninja ZX-4R,399.0,200.0,24.18,5.0,1,878999.9999999999,878999.9999999999
Honda,Dio 125,123.92,95.0,48.0,5.0,1,86851.0,93778.0
Bajaj,Pulsar N250,249.0,132.0,39.0,4.0,3,153000.0,153000.0
Hero,Glamour XTEC,124.7,95.0,63.0,4.0,4,89998.0,94598.0
Honda,CD 110 Dream,109.0,90.0,65.0,4.3,3,76401.0,76401.0
Hero,Xtreme 160R 4V,163.2,115.0,48.28,4.0,3,139000.0,141000.0
TVS,Star City Plus,109.0,90.0,83.09,5.0,2,76791.0,79791.0
Bajaj,Avenger Street 160,160.0,105.0,47.2,4.7,3,120000.0,120000.0
Hero,Passion Plus,97.2,85.0,70.0,3.7,3,79901.0,81651.0
Hero,Xoom 110,110.9,87.0,53.4,3.0,1,72284.0,84017.0
Suzuki,Avenis,124.0,90.0,55.0,4.0,1,93200.0,94000.0
Suzuki,Gixxer 250,250.0,130.0,38.0,5.0,1,198000.0,199000.0
Honda,CB350RS,348.36,150.0,35.0,,,215000.0,219000.0
